neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
CONEY ISLAND,Kings County,442512,443805,443351,444495,443631,443031,443170,440837,439192,438011,438963,436563,60,Brooklyn,23,21,23,18,19,20,15,14,15,16,30,31,113,112,122,111,157,198,194,171,126,135,119,167,105,84,83,103,98,133,106,121,119,109,105,126,4,11,5,12,14,28,34,16,12,10,7,7
GERRITSEN BEACH,Kings County,500621,502752,504492,509205,510805,513007,516271,518834,522066,523199,526453,527836,61,Brooklyn,2,2,2,2,0,0,0,0,1,2,3,3,71,88,100,102,81,117,88,87,89,114,95,108,72,73,72,71,72,78,73,84,79,68,45,69,1,0,1,2,2,3,1,1,0,2,0,1
GRAVESEND,Kings County,737400,739017,740395,741571,741105,741518,743636,744461,744497,743358,742716,742079,61,Brooklyn,91,54,47,39,39,41,46,42,42,32,63,53,71,88,100,102,81,117,88,87,89,114,95,108,72,73,72,71,72,78,73,84,79,68,45,69,1,0,1,2,2,3,1,1,0,2,0,1
HOMECREST,Kings County,487260,492143,496720,499731,501728,505383,508708,510102,510473,511576,513892,514979,61,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,71,88,100,102,81,117,88,87,89,114,95,108,72,73,72,71,72,78,73,84,79,68,45,69,1,0,1,2,2,3,1,1,0,2,0,1
MANHATTAN BEACH,Kings County,1206968,1211694,1209181,1212010,1209196,1209908,1205221,1206363,1207577,1210685,1206003,1197180,61,Brooklyn,10,12,11,10,13,11,11,10,11,11,12,12,71,88,100,102,81,117,88,87,89,114,95,108,72,73,72,71,72,78,73,84,79,68,45,69,1,0,1,2,2,3,1,1,0,2,0,1
SHEEPSHEAD BAY,Kings County,412706,412832,412246,412291,411917,412521,413195,413697,414038,413899,414149,413534,61,Brooklyn,176,86,82,75,86,73,73,69,64,66,135,130,71,88,100,102,81,117,88,87,89,114,95,108,72,73,72,71,72,78,73,84,79,68,45,69,1,0,1,2,2,3,1,1,0,2,0,1
BATH BEACH,Kings County,494816,494159,493442,493638,495057,494593,494365,493324,492408,491054,489929,487590,62,Brooklyn,29,18,12,12,11,4,4,8,4,5,16,14,74,70,98,73,72,71,72,100,87,106,92,92,47,49,81,38,67,54,54,56,68,58,72,75,1,1,9,4,6,7,6,18,10,5,1,0
BENSONHURST,Kings County,746380,748755,749543,750098,749842,749311,748579,747825,746275,744997,742782,740567,62,Brooklyn,81,46,37,44,39,38,42,44,43,40,75,70,74,70,98,73,72,71,72,100,87,106,92,92,47,49,81,38,67,54,54,56,68,58,72,75,1,1,9,4,6,7,6,18,10,5,1,0
NEW UTRECHT,Kings County,958998,962723,963967,961812,956907,951754,948445,946011,943682,941115,936474,932287,62,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,74,70,98,73,72,71,72,100,87,106,92,92,47,49,81,38,67,54,54,56,68,58,72,75,1,1,9,4,6,7,6,18,10,5,1,0
BERGEN BEACH,Kings County,826194,821518,821230,824617,826746,826436,826295,822174,816516,812679,809993,811415,63,Brooklyn,17,7,5,4,4,4,4,7,5,6,12,9,63,54,66,56,79,112,73,87,116,100,84,114,57,54,53,47,60,81,48,84,85,54,65,65,1,0,0,0,0,1,1,2,3,0,1,1
