neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
DUMBO,Kings County,1670563,1666466,1661210,1660655,1654674,1649923,1645890,1641435,1635308,1627476,1616473,1604076,84,Brooklyn,41,21,22,22,23,19,21,21,23,24,50,51,80,113,109,121,100,106,126,132,124,138,140,175,102,90,122,109,100,156,102,99,150,238,84,112,2,0,2,1,1,5,4,3,3,5,3,9
VINEGAR HILL,New York County,1444851,1444008,1445358,1435605,1430879,1422324,1417109,1405176,1391963,1382625,1370824,1365997,84,Brooklyn,33,0,0,0,0,1,1,1,0,0,6,6,80,113,109,121,100,106,126,132,124,138,140,175,102,90,122,109,100,156,102,99,150,238,84,112,2,0,2,1,1,5,4,3,3,5,3,9
CLINTON HILL,Kings County,700499,692331,691273,689953,690568,690880,693174,694943,694130,693677,688653,687872,88,Brooklyn,930,454,440,449,472,468,472,463,472,468,1134,1166,56,54,52,48,63,57,64,62,57,71,44,66,41,62,46,49,59,43,51,35,38,56,41,50,1,0,0,2,3,0,1,2,1,2,1,2
FORT GREENE,Kings County,796666,788022,784562,779556,774887,769972,765844,765043,763786,760778,754409,747425,88,Brooklyn,498,213,210,209,223,227,223,218,222,224,375,371,56,54,52,48,63,57,64,62,57,71,44,66,41,62,46,49,59,43,51,35,38,56,41,50,1,0,0,2,3,0,1,2,1,2,1,2
NAVY YARD,Kings County,1025391,1019903,1020743,1019936,1016253,1007664,996213,990323,985137,991622,988379,990270,88,Brooklyn,15,39,42,38,38,42,34,39,38,39,79,81,56,54,52,48,63,57,64,62,57,71,44,66,41,62,46,49,59,43,51,35,38,56,41,50,1,0,0,2,3,0,1,2,1,2,1,2
WILLIAMSBURG,Kings County,900908,897644,899681,902591,907637,905685,901646,896184,893806,890622,885046,884558,90,Brooklyn,3936,1746,1736,1765,1788,1798,1827,1861,1865,1891,3979,4023,63,79,83,83,85,97,88,90,89,102,83,93,51,107,159,101,138,125,118,135,105,120,121,104,1,1,1,3,0,4,1,2,5,3,2,2
GREENPOINT,Kings County,1115583,1111599,1110764,1109606,1111405,1108214,1106038,1103691,1106792,1105923,1101624,1096777,94,Brooklyn,1104,419,408,422,437,435,436,436,430,436,1062,1074,25,45,47,46,47,57,55,68,44,52,45,54,18,18,25,30,19,35,22,39,67,33,36,39,0,0,1,1,2,0,0,0,0,0,1,0
ARVERNE,Queens County,353237,352584,350286,349262,349140,349850,352451,354630,355344,355099,353656,351994,100,Queens,85,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
BELLE HARBOR,Queens County,946344,950077,956517,958284,957926,954379,952757,949092,946618,946360,948684,951263,100,Queens,7,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
BREEZY POINT,Queens County,382648,382008,380021,377851,376545,377499,379139,381627,385103,389626,394941,401454,100,Queens,3,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
BROAD CHANNEL,Queens County,424558,425140,425318,426703,429297,429551,431050,431967,434179,433039,431151,430470,100,Queens,0,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
JACOB RIIS PARK,Queens County,1205604,1206154,1205046,1209465,1212683,1206465,1194058,1182097,1177571,1173213,1172951,1163418,100,Queens,0,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
NEPONSIT,Queens County,1200935,1205803,1206516,1205825,1205174,1197894,1190258,1180076,1177499,1175100,1178989,1177744,100,Queens,3,0,0,0,0,0,0,0,0,0,0,0,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
ROCKAWAY PARK,Queens County,326823,329642,332825,335159,335666,336883,338243,340425,338912,337734,337734,339097,100,Queens,75,237,239,234,226,204,201,199,195,203,193,195,48,44,51,60,70,87,71,72,59,84,57,72,22,35,41,44,60,51,47,62,58,52,36,60,0,0,0,1,3,1,0,0,3,1,2,1
FAR ROCKAWAY,Queens County,485675,488991,490936,492321,493836,495543,497302,497616,496884,496590,497730,498960,101,Queens,61,0,0,0,0,0,0,0,0,0,0,0,84,55,69,61,88,98,85,103,77,87,86,95,82,80,85,99,97,126,78,90,106,98,66,101,1,0,2,1,3,5,2,7,2,1,1,1
KEW GARDENS,Queens County,319623,321354,321760,322286,322067,321290,319297,318305,317427,318235,318095,316889,102,Queens,46,0,0,0,0,0,0,0,0,0,0,0,94,129,137,131,146,148,139,151,159,153,94,147,60,113,109,97,92,113,92,126,89,79,63,105,0,0,3,2,1,1,0,6,2,0,3,1
KEW GARDENS HILLS,Queens County,358051,358040,358942,359285,359790,359255,358423,357859,356589,355759,355686,356034,102,Queens,29,23,23,21,24,21,15,15,17,16,32,35,94,129,137,131,146,148,139,151,159,153,94,147,60,113,109,97,92,113,92,126,89,79,63,105,0,0,3,2,1,1,0,6,2,0,3,1
RICHMOND HILL,Queens County,592963,594447,595319,596199,597442,596847,596381,595680,594538,594751,593794,593049,102,Queens,110,76,73,59,63,58,61,67,59,64,116,116,94,129,137,131,146,148,139,151,159,153,94,147,60,113,109,97,92,113,92,126,89,79,63,105,0,0,3,2,1,1,0,6,2,0,3,1
WOODHAVEN,Queens County,604716,603915,602870,601837,601529,600148,598910,598179,597571,597892,597185,597317,102,Queens,97,57,61,58,51,51,42,46,48,47,82,73,94,129,137,131,146,148,139,151,159,153,94,147,60,113,109,97,92,113,92,126,89,79,63,105,0,0,3,2,1,1,0,6,2,0,3,1
BRIARWOOD,Queens County,270720,270958,271296,271203,274274,277042,278138,277581,276274,275839,276866,277045,103,Queens,48,0,0,0,0,0,0,0,0,0,0,0,160,161,176,155,207,233,224,205,193,233,225,228,109,125,129,127,112,170,135,161,140,147,123,132,1,0,2,3,1,4,2,2,5,2,4,3
HOLLIS,Queens County,535181,536878,538918,540892,543113,543746,544690,545743,546281,547043,547562,547502,103,Queens,26,0,0,0,0,0,0,0,0,0,0,0,160,161,176,155,207,233,224,205,193,233,225,228,109,125,129,127,112,170,135,161,140,147,123,132,1,0,2,3,1,4,2,2,5,2,4,3
JAMAICA,Queens County,494255,495880,496526,496929,496959,495523,493828,493075,492866,493708,494161,494301,103,Queens,266,363,367,358,349,338,314,300,289,291,580,571,160,161,176,155,207,233,224,205,193,233,225,228,109,125,129,127,112,170,135,161,140,147,123,132,1,0,2,3,1,4,2,2,5,2,4,3
GLENDALE,Queens County,691808,690867,690383,690896,689625,688683,687613,687437,686069,686045,685541,685910,104,Queens,69,25,27,24,26,25,19,22,24,24,43,42,101,88,132,113,143,132,126,91,116,95,108,134,60,67,75,59,71,84,66,85,57,62,55,78,2,1,1,1,4,2,1,5,3,2,4,1
MASPETH,Queens County,745423,744964,745729,746219,746031,744276,744106,743705,743773,743731,743441,743614,104,Queens,130,44,50,45,51,41,38,40,36,40,68,73,101,88,132,113,143,132,126,91,116,95,108,134,60,67,75,59,71,84,66,85,57,62,55,78,2,1,1,1,4,2,1,5,3,2,4,1
MIDDLE VILLAGE,Queens County,767392,767519,768455,768577,769060,767559,766856,766169,764667,763890,762790,761926,104,Queens,38,22,19,18,18,17,19,14,18,16,28,28,101,88,132,113,143,132,126,91,116,95,108,134,60,67,75,59,71,84,66,85,57,62,55,78,2,1,1,1,4,2,1,5,3,2,4,1
RIDGEWOOD,Queens County,778849,775861,772982,771548,769682,767407,764575,762840,763810,767294,771334,776388,104,Queens,440,221,222,224,225,216,217,228,210,199,412,414,101,88,132,113,143,132,126,91,116,95,108,134,60,67,75,59,71,84,66,85,57,62,55,78,2,1,1,1,4,2,1,5,3,2,4,1
FLORAL PARK,Queens County,668175,669280,668939,668228,668740,668524,668777,668568,667592,667380,667863,669049,105,Queens,0,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
BELLEROSE,Queens County,616254,616862,617740,619233,620783,620318,620629,621074,621639,621810,622504,623454,105,Queens,13,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
CAMBRIA HEIGHTS,Queens County,509637,509565,508871,506907,504915,502025,500724,500519,501401,501602,503043,504433,105,Queens,32,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
GLEN OAKS,Queens County,370316,370774,371132,371908,371390,371248,369541,365818,361853,361006,361294,361569,105,Queens,0,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
JOHN F. KENNEDY INTERNATIONAL AIRPORT,Queens County,641085,645372,653048,656894,661538,661379,659200,657376,650962,646735,641805,647596,105,Queens,0,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
LAURELTON,Queens County,505982,507732,509761,510015,511164,511416,511543,512368,512073,511928,512756,514052,105,Queens,27,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
QUEENS VILLAGE,Queens County,537821,539806,542430,544470,546300,546190,546219,547226,547877,548960,549972,551294,105,Queens,70,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
ROSEDALE,Queens County,519819,524060,526315,526621,526930,527145,527393,528563,528814,529282,528718,527804,105,Queens,74,0,0,0,0,0,0,0,0,0,0,0,72,103,85,80,119,140,126,155,139,142,136,145,100,94,114,95,114,104,85,101,127,112,80,105,0,1,0,1,0,1,1,6,3,2,1,2
HOWARD BEACH,Queens County,459292,462269,464081,466146,467096,466973,467403,469277,471924,474816,476489,477024,106,Queens,24,13,12,12,12,13,11,12,18,13,18,20,95,105,103,86,92,116,107,142,132,119,109,100,80,81,101,89,100,98,89,108,101,90,76,74,0,1,0,0,1,1,2,2,0,2,2,1
JAMAICA ESTATES,Queens County,957230,959285,961542,962058,962438,962100,963247,964022,962104,962752,963720,965868,106,Queens,16,0,0,0,0,0,0,0,0,0,0,0,95,105,103,86,92,116,107,142,132,119,109,100,80,81,101,89,100,98,89,108,101,90,76,74,0,1,0,0,1,1,2,2,0,2,2,1
OZONE PARK,Queens County,569446,571729,572909,573720,574831,574760,574001,574119,574300,575663,576003,575982,106,Queens,65,36,30,29,30,28,28,27,25,24,50,45,95,105,103,86,92,116,107,142,132,119,109,100,80,81,101,89,100,98,89,108,101,90,76,74,0,1,0,0,1,1,2,2,0,2,2,1
FRESH MEADOWS,Queens County,918387,917855,919258,919278,919977,917020,914064,911536,908492,906764,904802,903629,107,Queens,35,11,14,12,13,10,9,9,5,5,10,9,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
HILLCREST,Queens County,813323,813708,813760,813004,811988,812513,812788,812835,809116,806461,804150,802915,107,Queens,0,13,10,9,5,8,7,9,10,12,24,32,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
HOLLISWOOD,Queens County,321930,317364,314743,313329,311812,310688,310707,309705,308861,308883,310025,312695,107,Queens,5,0,0,0,0,0,0,0,0,0,0,0,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
JAMAICA HILLS,Queens County,485941,486955,487295,487907,487846,488006,488239,489156,488801,489394,489898,489902,107,Queens,17,0,0,0,0,0,0,0,0,0,0,0,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
POMONOK,Queens County,274240,272376,272641,274789,279111,281377,282914,284540,286736,289551,293145,295724,107,Queens,0,0,0,0,0,0,0,0,0,0,0,0,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
UTOPIA,Queens County,977243,977300,980076,981211,982201,980210,979522,978348,976888,977256,976604,977570,107,Queens,0,7,8,9,12,11,13,13,11,8,20,20,74,71,93,88,82,110,98,109,100,104,88,75,82,53,75,81,87,78,75,76,74,86,77,57,1,0,1,0,1,0,0,0,1,0,1,0
BLISSVILLE,Queens County,1299909,1297140,1288895,1279511,1280622,1289165,1300918,1299394,1295395,1279205,1259024,1232955,108,Queens,0,0,0,0,0,0,0,0,0,0,0,0,55,81,74,75,100,80,101,104,113,106,106,101,53,38,45,53,68,71,50,54,71,58,50,53,0,1,0,0,0,0,2,1,3,2,1,3
HUNTERS POINT,Queens County,773665,774053,777629,782224,784501,785367,785379,783994,782333,781942,780486,781255,108,Queens,572,101,103,96,109,109,98,106,104,110,200,199,55,81,74,75,100,80,101,104,113,106,106,101,53,38,45,53,68,71,50,54,71,58,50,53,0,1,0,0,0,0,2,1,3,2,1,3
SUNNYSIDE-QUEENS,Queens County,479287,479947,472146,464271,458692,458221,459441,461590,464855,467198,469641,471128,108,Queens,361,188,194,207,206,191,180,178,186,188,357,348,55,81,74,75,100,80,101,104,113,106,106,101,53,38,45,53,68,71,50,54,71,58,50,53,0,1,0,0,0,0,2,1,3,2,1,3
WOODSIDE,Queens County,412506,410538,409203,408530,409359,408727,406555,405691,405646,405420,406422,409072,108,Queens,261,72,71,78,78,79,72,76,66,68,159,157,55,81,74,75,100,80,101,104,113,106,106,101,53,38,45,53,68,71,50,54,71,58,50,53,0,1,0,0,0,0,2,1,3,2,1,3
BAY TERRACE-QUEENS,Queens County,455861,456620,458101,457511,456066,453976,452507,451305,450529,450018,448872,449488,109,Queens,0,0,0,0,0,0,0,0,0,0,0,0,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
COLLEGE POINT,Queens County,749878,748419,746551,743244,739201,734660,731267,727731,723888,720170,715869,712535,109,Queens,25,11,12,14,15,10,15,9,13,13,21,24,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
FLUSHING,Queens County,480276,479214,479654,478960,477894,475944,473994,472761,471232,470393,469487,469832,109,Queens,499,184,166,175,188,191,190,188,180,171,361,360,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
MALBA,Queens County,1341315,1346897,1349518,1352104,1350341,1347721,1343169,1341560,1340674,1340518,1339896,1335011,109,Queens,0,0,0,0,0,0,0,0,0,0,0,0,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
MURRAY HILL-QUEENS,Queens County,653099,653938,654193,652820,652313,650919,649866,648987,648162,648048,647685,648001,109,Queens,0,0,0,0,0,0,0,0,0,0,0,0,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
WHITESTONE,Queens County,835413,835982,834565,831939,829813,826836,823502,820213,817247,815288,812683,810422,109,Queens,21,13,10,7,6,10,8,12,10,9,14,14,135,152,140,153,184,200,168,206,203,163,203,196,98,72,114,124,91,105,115,151,101,128,94,137,1,1,2,3,1,0,2,1,2,2,1,0
CORONA,Queens County,373710,374180,374829,374994,374358,373834,372917,372830,371624,371607,371418,373169,110,Queens,82,56,49,45,45,45,49,42,50,51,97,100,134,168,171,151,166,193,185,191,204,204,172,177,68,89,121,94,105,94,90,96,99,102,63,88,6,3,3,2,0,11,4,3,3,3,6,4
ELMHURST,Queens County,410227,411133,410802,410529,410345,410027,408705,407457,406065,405577,404844,404028,110,Queens,284,109,95,94,100,88,94,93,81,81,250,246,134,168,171,151,166,193,185,191,204,204,172,177,68,89,121,94,105,94,90,96,99,102,63,88,6,3,3,2,0,11,4,3,3,3,6,4
AUBURNDALE,Queens County,892014,891305,890643,889890,889154,886836,885099,883237,880720,878961,876916,875932,111,Queens,0,0,0,0,0,0,0,0,0,0,0,0,40,47,30,49,47,52,70,41,74,49,42,37,20,37,27,34,34,28,24,30,24,33,30,30,0,0,0,1,0,0,0,0,0,1,0,0
BAYSIDE,Queens County,903333,902736,901611,899306,897634,894377,891314,888436,884495,881450,877593,875039,111,Queens,51,26,26,24,25,24,24,26,22,19,41,37,40,47,30,49,47,52,70,41,74,49,42,37,20,37,27,34,34,28,24,30,24,33,30,30,0,0,0,1,0,0,0,0,0,1,0,0
DOUGLASTON-LITTLE NECK,Queens County,754611,752926,751765,749398,748829,747413,745417,743166,739954,738269,736227,735141,111,Queens,13,0,0,0,0,0,0,0,0,0,0,0,40,47,30,49,47,52,70,41,74,49,42,37,20,37,27,34,34,28,24,30,24,33,30,30,0,0,0,1,0,0,0,0,0,1,0,0
OAKLAND GARDENS,Queens County,325389,325236,324474,323000,322099,320625,320064,320190,320052,319834,319301,318653,111,Queens,0,0,0,0,0,0,0,0,0,0,0,0,40,47,30,49,47,52,70,41,74,49,42,37,20,37,27,34,34,28,24,30,24,33,30,30,0,0,0,1,0,0,0,0,0,1,0,0
FOREST HILLS,Queens County,401863,401981,403889,404225,406369,406113,403356,400862,398040,398036,397415,398772,112,Queens,133,64,68,64,70,66,69,75,70,75,142,141,41,83,101,79,66,89,83,99,105,121,95,113,32,45,74,39,23,37,60,55,61,53,38,48,0,0,0,1,0,0,1,1,1,0,3,0
FOREST HILLS GARDENS,Queens County,1677704,1667535,1665247,1664416,1662873,1653935,1647333,1642063,1639627,1640548,1641739,1649105,112,Queens,0,0,0,0,0,0,0,0,0,0,0,0,41,83,101,79,66,89,83,99,105,121,95,113,32,45,74,39,23,37,60,55,61,53,38,48,0,0,0,1,0,0,1,1,1,0,3,0
REGO PARK,Queens County,394539,396498,399732,399766,401100,398697,393831,389597,387301,386753,383899,381961,112,Queens,87,31,29,29,37,39,44,38,38,41,88,87,41,83,101,79,66,89,83,99,105,121,95,113,32,45,74,39,23,37,60,55,61,53,38,48,0,0,0,1,0,0,1,1,1,0,3,0
ROCHDALE,Queens County,518274,519215,519991,519559,520046,519771,520450,520983,520494,519400,519361,520821,113,Queens,0,0,0,0,0,0,0,0,0,0,0,0,263,346,307,289,308,366,292,360,397,428,329,364,99,123,152,181,159,191,133,180,169,187,137,174,2,0,3,1,0,2,4,5,4,10,3,8
SOUTH OZONE PARK,Queens County,542774,546197,547832,548950,550984,552430,554109,555699,557002,558469,559799,560177,113,Queens,43,21,25,21,18,16,12,18,21,21,33,30,263,346,307,289,308,366,292,360,397,428,329,364,99,123,152,181,159,191,133,180,169,187,137,174,2,0,3,1,0,2,4,5,4,10,3,8
SPRINGFIELD GARDENS,Queens County,504067,507435,510591,512793,514153,513443,511341,509601,508234,507376,507703,509369,113,Queens,103,0,0,0,0,0,0,0,0,0,0,0,263,346,307,289,308,366,292,360,397,428,329,364,99,123,152,181,159,191,133,180,169,187,137,174,2,0,3,1,0,2,4,5,4,10,3,8
ST. ALBANS,Queens County,502368,503708,505172,506742,507307,506615,506070,506139,506095,505673,505557,505280,113,Queens,85,0,0,0,0,0,0,0,0,0,0,0,263,346,307,289,308,366,292,360,397,428,329,364,99,123,152,181,159,191,133,180,169,187,137,174,2,0,3,1,0,2,4,5,4,10,3,8
ASTORIA,Queens County,647159,648369,650376,650114,649342,647034,647040,647808,648409,648339,647134,647416,114,Queens,1238,744,742,762,765,761,769,785,811,820,1520,1499,99,128,191,118,177,177,191,213,196,204,173,217,82,93,102,114,106,128,123,134,119,162,80,141,2,1,1,3,2,2,4,5,11,16,8,7
ASTORIA HEIGHTS,Queens County,463445,463266,464413,464342,464205,464074,464448,465203,464105,463076,461562,461448,114,Queens,0,0,0,0,0,0,0,0,0,0,0,0,99,128,191,118,177,177,191,213,196,204,173,217,82,93,102,114,106,128,123,134,119,162,80,141,2,1,1,3,2,2,4,5,11,16,8,7
ROOSEVELT ISLAND,New York County,984143,978488,977898,979360,978112,972528,969705,967648,964335,960182,956033,952108,114,Manhattan,83,76,78,80,80,77,77,85,84,74,82,79,99,128,191,118,177,177,191,213,196,204,173,217,82,93,102,114,106,128,123,134,119,162,80,141,2,1,1,3,2,2,4,5,11,16,8,7
CASTLETON CORNERS,Richmond County,607045,604751,601705,598914,596230,594662,593923,593012,592208,590758,588296,587030,115,Queens,4,1,1,2,2,1,2,3,1,1,2,2,167,206,221,204,244,275,207,252,201,230,251,239,100,122,108,112,135,120,98,103,102,134,122,100,0,1,2,1,0,4,0,1,1,6,2,3
EAST ELMHURST,Queens County,650131,651175,650569,650057,649171,648835,649794,650572,650728,650905,652410,654188,115,Queens,234,47,45,42,37,37,43,30,32,28,71,74,167,206,221,204,244,275,207,252,201,230,251,239,100,122,108,112,135,120,98,103,102,134,122,100,0,1,2,1,0,4,0,1,1,6,2,3
JACKSON HEIGHTS,Queens County,441162,446764,447036,446915,445282,449057,452225,453545,453409,451782,451100,450717,115,Queens,188,131,127,129,118,132,124,120,124,126,239,234,167,206,221,204,244,275,207,252,201,230,251,239,100,122,108,112,135,120,98,103,102,134,122,100,0,1,2,1,0,4,0,1,1,6,2,3
CLIFTON,Richmond County,524563,523967,518899,513972,507560,506151,504599,503703,503964,503012,502114,499478,120,Staten Island,17,3,2,2,0,0,0,0,0,2,1,4,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
EMERSON HILL,Richmond County,685667,683210,679852,676780,673470,672463,671574,670004,668047,665768,663371,662043,120,Staten Island,5,0,0,0,0,0,0,0,0,0,1,1,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
FORT WADSWORTH,Richmond County,587723,585717,586239,589557,593282,597439,595966,593883,592926,593878,593338,593764,120,Staten Island,1,0,1,0,0,0,1,0,0,0,3,3,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
GREENWOOD,Kings County,985432,983736,978462,978165,979988,983042,983949,980138,975951,973277,973902,974339,120,Staten Island,0,94,97,91,101,92,97,100,94,103,179,184,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
GRYMES HILL,Richmond County,606791,605356,602253,599724,596605,595780,594706,592585,590819,590351,590610,591254,120,Staten Island,9,11,12,13,11,9,8,8,7,8,11,9,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
MEIERS CORNERS,Richmond County,568334,568368,566763,563836,560861,559007,559632,559892,559939,558454,556739,556155,120,Staten Island,0,2,1,1,2,1,3,1,2,2,3,3,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
NEW BRIGHTON,Richmond County,465175,464963,458537,453637,449679,449184,447754,447808,447406,448293,448402,447859,120,Staten Island,4,1,1,2,2,1,1,5,1,1,2,5,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
PARK HILL,Richmond County,430509,430963,428324,425439,422860,422819,423674,424271,425370,425538,425241,424213,120,Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
RANDALL MANOR,Richmond County,647537,645006,639209,632641,628556,627139,625941,624534,623926,624040,621464,617615,120,Staten Island,17,1,2,2,3,2,2,3,2,2,3,3,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
ROSEBANK,Richmond County,541718,540789,537332,534071,531162,531519,530416,528861,527352,526311,525153,523934,120,Staten Island,8,5,2,3,4,4,3,2,1,1,11,9,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
SHORE ACRES,Richmond County,409837,410642,413224,415960,417816,416993,415516,414769,415410,416513,416563,416111,120,Staten Island,10,0,0,0,0,0,0,0,0,0,0,0,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
SILVER LAKE,Richmond County,726853,724586,720742,717225,712618,710570,708940,706554,705119,703774,703343,703025,120,Staten Island,2,1,0,1,1,1,0,1,1,1,1,1,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
ST. GEORGE,Richmond County,453637,455669,456720,455255,451420,449122,446249,446370,447475,449474,450115,450529,120,Staten Island,53,27,30,26,29,30,30,33,31,31,47,43,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
STAPLETON,Richmond County,413077,415653,414793,413195,410395,411460,412506,413314,413996,414715,415381,415857,120,Staten Island,24,8,14,12,8,10,7,9,9,8,29,24,123,117,140,146,121,194,155,153,162,165,185,210,113,112,133,113,141,158,149,148,182,194,159,197,0,1,0,1,0,0,0,2,0,2,4,1
